Cement-to-cm³,Cement type (MPa),Fly ash-to-cm,Slag-to-cm,Silica fume-to-cm,Metakaolin-to-cm ,Nano silica-to-cm,Limestone-to-cm,Quartz powder-to-cm,Sand-to-cm,Maximum aggregate size (mm),Water-to-cm,Superplasticizer-to-cm,Steel fiber volume (%),Aspect ratio of fibers,Size of specimen (mm),28-day compressive strength (MPa)
0.755319149,52.5,0,0,0.244680851,0,0,0,0.223404255,1.085106383,5,0.117021277,0.031914894,0.02,65,40,119
0.793924466,52.5,0,0,0.206075534,0,0,0,0,0.554187192,5,0.200328407,0.028735632,0.055128205,65,40,128
0.892857143,52.5,0,0,0.107142857,0,0,0,0,0,5,0.172292546,0.013392857,0,0,40,115
0.751879699,52.5,0,0,0.248120301,0,0,0,0,0,5,0.22556391,0.059398496,0,0,40,210
0.806451613,52.5,0,0,0.193548387,0,0,0,0,0,5,0.189516129,0.032258065,0,0,40,162
0.869565217,52.5,0,0,0.130434783,0,0,0,0,0,5,0.216600791,0.026086957,0,0,40,142
0.763358779,52.5,0,0,0.236641221,0,0,0,0,0,5,0.134466994,0.042748092,0,0,40,217
0.819672131,52.5,0,0,0.180327869,0,0,0,0,0,5,0.191447896,0.035245902,0,0,40,178
0.842105263,52.5,0,0,0.157894737,0,0,0,0.789473684,0,5,0.242105263,0.026315789,0.002564103,65,40,119
0.799975901,52.5,0,0,0.200024099,0,0,0,0.200024099,0,5,0.153271478,0.02879865,0,0,40,171
0.79245283,52.5,0,0,0.20754717,0,0,0,0.550943396,0,5,0.143396226,0.026415094,0.06025641,65,40,175
0.846649485,52.5,0,0,0.153350515,0,0,0,0.538659794,1.354381443,5,0.238402062,0.238402062,0.020128205,65,40,150.56
0.846649485,52.5,0,0,0.153350515,0,0,0,0.538659794,1.354381443,5,0.238402062,0.238402062,0,0,40,121.32
0.799960642,52.5,0,0,0.200039358,0,0,0,0.200039358,1.138443373,5,0.157532225,0.02883007,0,0,40,204
0.799793602,52.5,0,0,0.200206398,0,0,0,0,1.259029928,5,0.170278638,0.010319917,0,0,40,170
0.917381392,52.5,0,0,0.082618608,0,0,0,0,0,5,0.190478775,0,0.001615385,65,40,188
0.925925926,52.5,0,0,0.074074074,0,0,0,0,0,5,0.185185185,0,0.001044872,65,40,194
0.497194164,52.5,0.502805836,0,0,0,0,0,0,1.92704826,5,0.255892256,0.000448934,0,0,40,171
0.869565217,52.5,0,0,0.130434783,0,0,0,0,1.249855072,5,0.243478261,0,0,0,40,185
0.857124419,42.5,0,0,0,0.142875581,0,0.428497677,0,1.428497677,0.95,0.282851058,0.010002581,0,0,40,94.4293501
0.785723506,42.5,0,0,0,0.214276494,0,0.428552988,0,1.42868207,0.95,0.282860462,0.014289402,0,0,40,94.75404897
0.714248838,42.5,0,0,0,0.285751162,0,0.428497677,0,1.428497677,0.95,0.285699535,0.035712442,0,0,40,82.02384472
0.806432817,52.5,0,0,0.193567183,0,0,0,0.233189605,1.048362662,0.6,0.222002098,0.041953152,2.49,400,40,148.2534934
0.770001113,52.5,0,0.229998887,0,0,0,0,0.222654946,1.001001447,0.6,0.21197285,0.040057861,2.49,400,40,145.6764016
0.791399817,52.5,0,0.09457914,0.114021043,0,0,0,0.228842635,1.028819762,0.6,0.217863678,0.041171089,2.49,400,40,133.0411723
